Rank,Male-Name,Male-Number,Female-Name,Femail-Number
1,James,4663035,Mary,3124584
2,Robert,4407377,Patricia,1555054
3,John,4403862,Jennifer,1469031
4,Michael,4340931,Linda,1448283
5,David,3564313,Elizabeth,1411916
6,William,3524670,Barbara,1391959
7,Richard,2439835,Susan,1103018
8,Joseph,2317860,Jessica,1047000
9,Thomas,2143281,Sarah,989810
10,Charles,2060835,Karen,986072
11,Christopher,2044437,Lisa,965015
12,Daniel,1900488,Nancy,963833
13,Matthew,1614109,Betty,906997
14,Anthony,1407623,Margaret,892334
15,Mark,1348322,Sandra,873655
16,Donald,1323467,Ashley,851020
17,Steven,1283686,Kimberly,841144
18,Paul,1263912,Emily,835442
19,Andrew,1255723,Donna,821223
20,Joshua,1226213,Michelle,813153
21,Kenneth,1212646,Carol,804807
22,Kevin,1176784,Amanda,773501
23,Brian,1169267,Dorothy,772958
24,George,1110560,Melissa,754784
25,Timothy,1072620,Deborah,740223
26,Ronald,1072270,Stephanie,738905
27,Edward,1060576,Rebecca,729447
28,Jason,1041127,Sharon,720831
29,Jeffrey,976651,Laura,714847
30,Ryan,947756,Cynthia,705778
31,Jacob,941181,Kathleen,683064
32,Gary,900277,Amy,682347
33,Nicholas,896856,Angela,659597
34,Eric,880874,Shirley,657764
35,Jonathan,853162,Anna,607022
36,Stephen,838395,Brenda,606299
37,Larry,802063,Pamela,592699
38,Justin,781577,Emma,591173
39,Scott,770208,Nicole,590414
40,Brandon,763634,Helen,584461
41,Benjamin,749881,Samantha,581626
42,Samuel,717912,Katherine,568258
43,Gregory,707931,Christine,558861
44,Alexander,683727,Debra,548281
45,Frank,675530,Rachel,545873
46,Patrick,665520,Carolyn,539223
47,Raymond,657165,Janet,537105
48,Jack,635483,Catherine,534876
49,Dennis,610810,Maria,529993
50,Jerry,601368,Heather,524171
51,Tyler,594971,Diane,515112
52,Aaron,588205,Ruth,514443
53,Jose,565276,Julie,506856
54,Adam,557653,Olivia,498779
55,Nathan,554162,Joyce,497784
56,Henry,552869,Virginia,496631
57,Douglas,546783,Victoria,489302
58,Zachary,543288,Kelly,471945
59,Peter,537153,Lauren,471879
60,Kyle,482101,Christina,471224
61,Ethan,453826,Joan,465670
62,Walter,452806,Evelyn,457188
63,Noah,445870,Judith,449739
64,Jeremy,440663,Megan,438147
65,Christian,434517,Andrea,437735
66,Keith,430900,Cheryl,436888
67,Roger,427016,Hannah,435256
68,Terry,422105,Jacqueline,420410
69,Gerald,421918,Martha,417402
70,Harold,421631,Gloria,406375
71,Sean,420553,Teresa,403870
72,Austin,418592,Ann,402317
73,Carl,418263,Sara,400065
74,Arthur,399784,Madison,399308
75,Lawrence,396484,Frances,399109
76,Dylan,390694,Kathryn,398924
77,Jesse,387393,Janice,398820
78,Jordan,386325,Jean,390826
79,Bryan,383979,Abigail,388793
80,Billy,376747,Alice,387931
81,Joe,376613,Julia,378548
82,Bruce,375068,Judy,377609
83,Gabriel,366152,Sophia,376519
84,Logan,359286,Grace,376006
85,Albert,358151,Denise,371271
86,Willie,354624,Amber,371156
87,Alan,351694,Doris,370008
88,Juan,349098,Marilyn,369504
89,Wayne,335173,Danielle,369198
90,Elijah,329248,Beverly,368510
91,Randy,328337,Isabella,365383
92,Roy,326203,Theresa,364816
93,Vincent,323623,Diana,360717
94,Ralph,321289,Natalie,359738
95,Eugene,316285,Brittany,359143
96,Russell,315198,Charlotte,357576
97,Bobby,313130,Marie,349383
98,Mason,312464,Kayla,341740
99,Philip,311366,Alexis,341562
100,Louis,308706,Lori,337993
